dna_library_id	ploidy	depth1	depth2	depth3	depth4	numOverlaps	meanOverlapSize	meanFragSize	numReads	sampleSize	nr_bins
VZA02704D_B02	2	0.004986501456464685	6.585774851572446e-6	0	0	256.95	62.206606716100694	123.55395444048928	99167	98220.65230494247	242711
VZA02704D_B02	3	0.004981752850435949	9.852112676056338e-6	0	0	22.5	65.32547667911798	124.94674300529329	9257	5966.542080800116	14910
VZA02704D_B04	1	0.004998208858228354	0	0	0	0	0	165.59259259259258	6480	3020.062625810781	10002
VZA02704D_B04	2	0.004982733877057233	7.161038623612611e-6	1.5832677021508083e-9	0	204.2	86.37366906313585	161.7285249758485	328137	76154.16020049177	246326
VZA02704D_B04	3	0.004970449538024165	1.0698294243070362e-5	0	0	3.65	82.88488095238095	165.4302384576357	5913	850.5095641026428	2814
VZA02704D_B05	3	0.004972064676616915	1.050639658848614e-5	0	0	1.75	174.15	143.07743153918793	1059	983.3836020565077	2814
VZA02704D_B06	2	0.004983431431290312	6.805824786475405e-6	0	0	201.65	86.19138110826721	166.44760779402657	297048	76707.92130458128	255357
VZA02704D_B06	3	0.004970151030561479	1.1725302061122956e-5	0	0	2.75	104.60904761904762	167.83095238095237	5040	838.3435713373718	2814
VZA02704D_B07	2	0.004987028482453635	6.537747644148768e-6	0	0	220.8	76.66380198837501	143.3882151126673	141656	90363.77215393161	259142
VZA02704D_B08	2	0.004986660865471441	7.025183104244005e-6	2.3153329062830416e-9	0	225.7	80.77666110177638	146.67287462524325	228148	88340.12446477276	259142
VZA02704D_B09	2	0.004986696039237175	6.281073697046407e-6	0	0	241.4	67.40467233981335	121.67199232763826	140765	106492.05089951292	259142
VZA02704D_B10	1	0.004993622533872118	3.068695032089375e-6	0	0	3.4	73.9475	144.02565198802907	4678	2921.0074330020543	8414
VZA02704D_B10	2	0.004987140050753965	6.378414876950193e-6	0	0	208	75.11101832429247	146.61271600571212	228987	83588.92962273839	245104
VZA02704D_B10	3	0.0049749431009957325	1.0301386913229019e-5	0	0	6.7	85.19443452380952	143.5793450881612	7940	1958.4989737022158	5624
